ID,Authors,Year,Title,Source,Theme,Method,PaperType,Algorithm,Key Findings
P18,Yu et al.,2018,Spatio-temporal graph convolutional networks: A deep learning framework for traffic forecasting,IJCAI,Graph Neural Networks (GNNs),ST-GNN Architecture Design,Theoretical + Empirical,STGCN (ChebNet + Gated CNN),"Pioneered ST-GNN architectures, capturing both spatial topology and temporal dynamics simultaneously."
P19,Wu et al.,2020,Connecting the dots: Multivariate time series forecasting with graph neural networks,KDD,Graph Neural Networks (GNNs),Adaptive Graph Learning,Empirical,MTGNN,GNNs are superior for forecasting when individual nodes have hidden relational dependencies.
P20,Wang et al.,2021,River network modeling using Spatio-Temporal Graph Neural Networks,Water Resources Research,Graph Neural Networks (GNNs),ST-GNN on Hydrological Network,Empirical,Custom ST-GNN with directed edges,"Applied ST-GNN to hydrological flows, showing that directional edges map perfectly to natural water networks."
P21,Shi et al.,2022,Predicting forest fire spread using graph neural networks,Environmental Modelling & Software,Graph Neural Networks (GNNs),GNN for Spatial Spread Dynamics,Empirical,GraphSAGE,Graph nodes representing forest patches allow better prediction of environmental spread dynamics than pixel-based CNNs.
P22,Chen et al.,2023,Ecosystem carbon flux modeling using spatial graphs,Global Change Biology,Graph Neural Networks (GNNs),Spatial Graph for Carbon Flux,Empirical,GCN (no temporal),"Spatial graphs improve carbon flux estimation compared to isolated point-based models, but lacked temporal sequence modelling."
P23,Li et al.,2021,Spatio-temporal graph modeling for environmental monitoring,IEEE TKDE,Graph Neural Networks (GNNs),ST-GNN for Sensor Networks,Empirical,ST-GNN (GRU + GCN),ST-GNNs are highly robust against missing data in environmental sensor networks.
P24,Macreadie et al.,2021,Blue carbon as a natural climate solution,Nature Reviews Earth & Environment,Carbon MRV and Standards,Comprehensive Review of Blue Carbon,Review,N/A,"Mangroves are powerful carbon sinks, but MRV costs and verification uncertainties block market scaling."
P25,Hamilton & Friess,2018,Global carbon stocks and potential emissions due to mangrove deforestation,Nature Climate Change,Carbon MRV and Standards,Global Stock Quantification,Empirical,Spatial Regression,Highlights the massive carbon density of mangroves and the need for standardized global tracking.
P26,Zeng et al.,2021,High-resolution carbon monitoring systems for forest ecosystems,Science Advances,Carbon MRV and Standards,Satellite-based Carbon Monitoring,Empirical,Neural Network + Satellite Fusion,Manual MRV is too slow; automated satellite-based MRV is the only path to national-scale carbon accounting.
P27,Verra,2022,VM0033 Methodology for Tidal Wetland and Seagrass Restoration,Verra Standards,Carbon MRV and Standards,Carbon Credit Verification Standard,Industry Standard,N/A,"Strict guidelines on autochthonous vs allochthonous carbon, Additionality, and Permanence."
P28,Lovell et al.,2020,The role of digital technologies in carbon markets,Environmental Science & Policy,Carbon MRV and Standards,Policy Review of Digital MRV,Conceptual,N/A,Digital MRV reduces carbon project certification costs by up to 70% but faces regulatory skepticism.
P29,Murdiyarso et al.,2015,The potential of Indonesian mangrove forests for global climate change mitigation,Nature Climate Change,Carbon MRV and Standards,Field Surveys + Soil Carbon Analysis,Empirical,Allometric Equations,"Establishes baselines for mangrove soil carbon density, forming the basis of many blue carbon credit calculations."
P30,Atwood et al.,2017,Global patterns in mangrove soil carbon stocks and losses,Nature Climate Change,Carbon MRV and Standards,Global Spatial Analysis,Empirical,Geospatial Statistical Model,"Soil carbon is highly dependent on tidal flushing and geomorphology, proving pixels cannot be treated independently."
P31,MOCCAE,2023,UAE National Blue Carbon Programme: COP28 Progress Report,Government Report,Carbon MRV and Standards,Policy Report,Government Report,N/A,Outlines the UAE's 100 million mangrove goal and the critical need for scalable local verification mechanisms.
P32,IPCC,2013,Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands,IPCC,Carbon MRV and Standards,International Guideline,Government Report,N/A,Classifies mangrove carbon as Blue Carbon under international climate frameworks.
P33,Komiyama et al.,2008,"Allometry, biomass, and productivity of mangrove forests: A review",Aquatic Botany,Carbon MRV and Standards,Review of Allometric Methods,Review,Allometric Equations,Established foundational allometric equations for mangrove biomass estimation used as baseline worldwide.
P34,Lundberg & Lee,2017,A unified approach to interpreting model predictions,NIPS,Explainable AI (SHAP),Game-theoretic Feature Attribution,Theoretical + Empirical,SHAP (Shapley Values),Introduced SHAP based on game theory to explain individual machine learning predictions reliably.
P35,Molnar,2020,Interpretable Machine Learning,Book,Explainable AI (SHAP),Textbook / Comprehensive Guide,Conceptual,"SHAP, LIME, PDP, ALE",Defines the need for feature attribution in high-stakes domains where black-box models are unacceptable.
P36,Roscher et al.,2020,Explainable Machine Learning for Scientific Insights and Discoveries,IEEE Access,Explainable AI (SHAP),Review of XAI in Science,Review,"SHAP, Attention Maps, Saliency",XAI transforms ML from a predictive tool to a scientific discovery tool by highlighting feature interactions.
P37,Baryannis et al.,2019,Predicting supply chain risks using machine learning: The trade-off between performance and interpretability,Future Generation Computer Systems,Explainable AI (SHAP),Performance vs Interpretability Analysis,Empirical,"Random Forest, SVM, LIME",Auditors require interpretability. Models without SHAP/LIME fail regulatory compliance checks.
P38,Wong et al.,2022,Using SHAP to interpret deep learning models in environmental monitoring,Environmental Modelling,Explainable AI (SHAP),SHAP Applied to Environmental DL,Empirical,SHAP + LSTM,SHAP effectively identifies specific weather variables (e.g. temperature spikes) driving environmental anomalies.
P39,Kroll et al.,2021,Auditable AI: The role of explainability in climate-tech,Climate Informatics,Explainable AI (SHAP),Policy Analysis of XAI in Carbon Markets,Conceptual,"SHAP, LIME","Carbon markets require 'Auditable AI', which necessitates SHAP or similar methods to prove Additionality."
P40,Slack et al.,2020,Fooling LIME and SHAP: Adversarial Attacks on Post hoc Explanation Methods,AIES,Explainable AI (SHAP),Adversarial Testing of XAI,Empirical,Adversarial SHAP/LIME,"Warns of vulnerabilities in XAI, establishing the need for cross-referencing SHAP outputs with external evidence (like news/weather)."
